S/N		Words               		Frequency
1		a                   		14672
2		a'                  		2
3		a'leven             		1
4		a'mercy             		1
5		a-bat-fowling       		1
6		a-bed               		2
7		a-birding           		4
8		a-bleeding          		2
9		a-breeding          		1
10		a-brewing           		1
11		a-cap'ring          		1
12		a-coming            		1
13		a-cursing           		1
14		a-doing             		2
15		a-doting            		1
16		a-down              		2
17		a-down-a            		1
18		a-ducking           		1
19		a-dying             		1
20		a-feasting          		1
21		a-field             		2
22		a-foot              		2
23		a-going             		1
24		a-growing           		1
25		a-hanging           		1
26		a-height            		1
27		a-high              		1
28		a-hold              		2
29		a-hooting           		1
30		a-horseback         		3
31		a-hungry            		1
32		a-life              		1
33		a-making            		1
34		a-mending           		1
35		a-night             		1
36		a-repairing         		1
37		a-ripening          		1
38		a-rolling           		1
39		a-row               		1
40		a-sleeping          		1
41		a-talking           		1
42		a-weeping           		1
43		a-wooing            		1
44		a-work              		1
45		aaron               		96
46		aaron's             		1
47		abaissiez           		1
48		abandon             		4
49		abandon'd           		6
50		abandoned           		2
51		abase               		2
52		abash'd             		1
53		abate               		14
54		abated              		3
55		abatement           		3
56		abatements          		1
57		abates              		1
58		abbess              		25
59		abbey               		20
60		abbeys              		1
61		abbominable         		1
62		abbot               		9
63		abbots              		1
64		abbreviated         		1
65		abed                		7
66		abel                		1
67		abel's              		1
68		aberga'ny           		2
69		abergavenny         		8
70		abet                		1
71		abetting            		1
72		abhominable         		1
73		abhor               		19
74		abhorr'd            		11
75		abhorr'dst          		1
76		abhorred            		9
77		abhorring           		2
78		abhors              		4
79		abhorson            		21
80		abide               		38
81		abides              		8
82		abilities           		5
83		ability             		9
84		ability's           		1
85		abject              		11
86		abjectly            		1
87		abjects             		2
88		abjur'd             		2
89		abjure              		4
90		able                		59
91		abler               		1
92		aboard              		28
93		abode               		9
94		aboded              		1
95		abodements          		1
96		aboding             		1
97		abominable          		14
98		abominably          		1
99		abominations        		1
100		abortive            		4
101		abortives           		1
102		abound              		7
103		abound'st           		1
104		abounding           		1
105		about               		408
106		above               		147
107		abr                 		5
108		abraham             		3
109		abraham's           		1
110		abram               		5
111		abreast             		3
112		abridg'd            		1
113		abridge             		2
114		abridged            		1
115		abridgment          		4
116		abroach             		3
117		abroad              		63
118		abroad-anon         		1
119		abrogate            		1
120		abrook              		1
121		abrupt              		1
122		abruption           		1
123		abruptly            		1
124		absence             		55
125		absent              		33
126		absey               		1
127		absolute            		30
128		absolutely          		2
129		absolv'd            		3
130		abstains            		1
131		abstemious          		1
132		abstinence          		4
133		abstract            		6
134		absurd              		4
135		absyrtus            		1
136		abundance           		13
137		abundant            		4
138		abundantly          		1
139		abus'd              		29
140		abuse               		46
141		abused              		17
142		abuser              		1
143		abuses              		11
144		abusing             		3
145		abutting            		1
146		aby                 		2
147		abysm               		3
148		academe             		1
149		academes            		2
150		accent              		16
151		accents             		7
152		accept              		31
153		acceptable          		1
154		acceptance          		8
155		accepted            		5
156		accepting           		1
157		accepts             		3
158		access              		33
159		accessary           		3
160		accessed            		1
161		accessible          		2
162		accidence           		1
163		accident            		23
164		accidental          		3
165		accidentally        		3
166		accidents           		14
167		accite              		1
168		accited             		1
169		accites             		1
170		acclamations        		1
171		accommodate         		1
172		accommodated        		7
173		accommodation       		1
174		accommodations      		1
175		accommodo           		1
176		accompanied         		9
177		accompany           		8
178		accompanying        		1
179		accomplices         		1
180		accomplish          		3
181		accomplish'd        		7
182		accomplished        		3
183		accomplishing       		1
184		accomplishment      		1
185		accompt             		4
186		accord              		10
187		accordance          		2
188		accordant           		1
189		accorded            		1
190		accordeth           		1
191		according           		45
192		accordingly         		10
193		accords             		3
194		accost              		4
195		accost'             		2
196		accosted            		1
197		account             		45
198		account'st          		1
199		accountant          		2
200		accounted           		7
201		accounts            		2
202		accoutred           		2
203		accoutrement        		2
204		accoutrements       		2
205		accrue              		1
206		accumulate          		2
207		accumulated         		1
208		accumulation        		1
209		accurs'd            		13
210		accursed            		18
211		accurst             		4
212		accus'd             		21
213		accusation          		13
214		accusations         		6
215		accusative          		1
216		accusativo          		2
217		accuse              		38
218		accused             		3
219		accuser             		2
220		accuser's           		1
221		accusers            		6
222		accuses             		2
223		accuseth            		1
224		accusing            		3
225		accustom'd          		4
226		accustomed          		2
227		ace                 		3
228		acerb               		1
229		ache                		12
230		acheron             		3
231		aches               		6
232		achiev'd            		8
233		achieve             		14
234		achieved            		3
235		achievement         		3
236		achievements        		4
237		achiever            		1
238		achieves            		1
239		achilles            		161
240		achilles'           		6
241		aching              		3
242		achitophel          		1
243		acknowledg'd        		3
244		acknowledge         		19
245		acknowledged        		1
246		acknowledgment      		1
247		acknown             		1
248		acold               		5
249		aconitum            		1
250		acordo              		1
251		acorn               		4
252		acquaint            		22
253		acquaintance        		36
254		acquainted          		39
255		acquaints           		1
256		acquir'd            		2
257		acquire             		3
258		acquire-after       		1
259		acquisition         		1
260		acquit              		8
261		acquittance         		3
262		acquittances        		1
263		acquitted           		3
264		acre                		3
265		acres               		4
266		across              		6
267		act                 		378
268		actaeon             		2
269		actaeon's           		1
270		acted               		7
271		acting              		8
272		action              		114
273		action's            		1
274		action-taking       		1
275		actions             		23
276		actium              		3
277		active              		8
278		active-valiant      		1
279		actively            		1
280		activity            		3
281		actor               		12
282		actor's             		1
283		actors              		10
284		acts                		23
285		actual              		3
286		acture              		1
287		acute               		2
288		acutely             		1
289		ad                  		14
290		adage               		2
291		adallas             		1
