S/N		Word	Frequency
1		some	1
1
	text	1
3		text	1
4		text	1
5		text	1
6		text	1
7		text	1
8		text	1
9		text	1
10		text	1
11		text	1
12		text	1
13		text	1
14		text	1
15		text	1
16		text	1
17		text	1
18		text	1
19		text	1
20		text	1
21		text	1
22		text	1
23		text	1
24		text	1
25		text	1
26		text	1
27		text	1
28		text	1
29		text	1
30		text	1
31		text	1
32		text	1
33		text	1
34		text	1
35		text	1
36		text	1
37		text	1
38		text	1
39		text	1
40		text	1
41		text	1
42		text	1
43		text	1
44		text	1
45		text	1
46		text	1
47		text	1
48		text	1
49		text	1
50		text	1
51		text	1
52		text	1
53		text	1
54		text	1
55		text	1
56		text	1
57		text	1
58		text	1
59		text	1
60		text	1
61		text	1
62		text	1
63		text	1
64		text	1
65		text	1
66		text	1
67		text	1
68		text	1
69		text	1
70		text	1
71		text	1
72		text	1
73		text	1
74		text	1
75		text	1
76		text	1
77		text	1
78		text	1
79		text	1
80		text	1
81		text	1
82		text	1
83		text	1
84		text	1
85		text	1
86		text	1
87		text	1
88		text	1
89		text	1
90		text	1
91		text	1
92		text	1
93		text	1
94		text	1
95		text	1
96		text	1
97		text	1
98		text	1
99		text	1
100		text	1
101		text	1
102		text	1
103		text	1
104		text	1
105		text	1
106		text	1
107		text	1
108		text	1
109		text	1
110		text	1
111		text	1
112		text	1
113		text	1
114		text	1
115		text	1
116		text	1
117		text	1
118		text	1
119		text	1
120		text	1
121		text	1
122		text	1
123		text	1
124		text	1
125		text	1
126		text	1
127		text	1
128		text	1
129		text	1
130		text	1
131		text	1
132		text	1
133		text	1
134		text	1
135		text	1
136		text	1
137		text	1
138		text	1
139		text	1
140		text	1
141		text	1
142		text	1
143		text	1
144		text	1
145		text	1
146		text	1
147		text	1
148		text	1
149		text	1
150		text	1
151		text	1
152		text	1
153		text	1
154		text	1
155		text	1
156		text	1
157		text	1
158		text	1
159		text	1
160		text	1
161		text	1
162		text	1
163		text	1
164		text	1
165		text	1
166		text	1
167		text	1
168		text	1
169		text	1
170		text	1
171		text	1
172		text	1
173		text	1
174		text	1
175		text	1
176		text	1
177		text	1
178		text	1
179		text	1
180		text	1
181		text	1
182		text	1
183		text	1
184		text	1
185		text	1
186		text	1
187		text	1
188		text	1
189		text	1
190		text	1
191		text	1
192		text	1
193		text	1
194		text	1
195		text	1
196		text	1
197		text	1
198		text	1
199		text	1
200		text	1
201		text	1
202		text	1
203		text	1
204		text	1
205		text	1
206		text	1
207		text	1
208		text	1
209		text	1
210		text	1
211		text	1
212		text	1
213		text	1
214		text	1
215		text	1
216		text	1
217		text	1
218		text	1
219		text	1
220		text	1
221		text	1
222		text	1
223		text	1
224		text	1
225		text	1
226		text	1
227		text	1
228		text	1
229		text	1
230		text	1
231		text	1
232		text	1
233		text	1
234		text	1
235		text	1
236		text	1
237		text	1
238		text	1
239		text	1
240		text	1
241		text	1
242		text	1
243		text	1
244		text	1
245		text	1
246		text	1
247		text	1
248		text	1
249		text	1
250		text	1
251		text	1
252		text	1
253		text	1
254		text	1
255		text	1
256		text	1
257		text	1
258		text	1
259		text	1
260		text	1
261		text	1
262		text	1
263		text	1
264		text	1
265		text	1
266		text	1
267		text	1
268		text	1
269		text	1
270		text	1
271		text	1
272		text	1
273		text	1
274		text	1
275		text	1
276		text	1
277		text	1
278		text	1
279		text	1
280		text	1
281		text	1
282		text	1
283		text	1
284		text	1
285		text	1
286		text	1
287		text	1
288		text	1
289		text	1
290		text	1
291		text	1
292		text	1
293		text	1
294		text	1
295		text	1
296		text	1
297		text	1
298		text	1
299		text	1
300		text	1
301		text	1
302		text	1
303		text	1
304		text	1
305		text	1
306		text	1
307		text	1
308		text	1
309		text	1
310		text	1
311		text	1
312		text	1
313		text	1
314		text	1
315		text	1
